trading_signals_20251006_004721
sid,symbol,sector,industry,market_cap_cr,pe_ratio,beta,current_price,price_5d_ago,price_20d_ago,return_5d,return_20d,avg_volume,current_delivery,delivery_5d_avg,delivery_20d_avg,momentum_score,delivery_score,valuation_score,volatility_score,total_score,signal,confidence
1030,KPRMILL,Consumer Cyclical,Textile Manufacturing,36601.45,44.45,0.22,1070.8,1070.9,996.45,-0.01,7.46,342493.0,38.9,49.18,49.18,15,0,0,15,30,SELL,HIGH
1719,SJVN,Utilities,Utilities - Renewable,35945.84,51.1,0.34,91.47,91.05,93.97,0.46,-2.66,2976972.0,41.16,40.96,40.96,15,0,0,15,30,SELL,HIGH
1883,THERMAX,Industrials,Conglomerates,35916.51,53.48,0.17,3188.5,3197.7,3260.0,-0.29,-2.19,99098.0,54.0,52.76,52.76,0,0,0,15,15,SELL,HIGH
1167,MEDANTA,Healthcare,Medical Care Facilities,35707.17,66.67,-0.39,1328.8,1299.7,1427.2,2.24,-6.89,281627.0,58.05,55.37,55.37,15,0,0,15,30,SELL,HIGH
1281,NH,Healthcare,Medical Care Facilities,35603.4,45.45,0.19,1753.0,1725.0,1809.2,1.62,-3.11,270451.0,54.87,55.6,55.6,15,0,0,15,30,SELL,HIGH
33,ACC,Basic Materials,Building Materials,34728.44,14.41,0.04,1849.1,1824.4,1843.1,1.35,0.33,197495.0,51.28,53.47,53.47,30,0,15,15,60,BUY,MEDIUM
374,CHOLAHLDNG,Financial Services,Credit Services,34574.52,15.7,0.52,1841.2,1839.6,1748.2,0.09,5.32,185334.0,43.92,53.13,53.13,30,0,15,15,60,BUY,MEDIUM
207,AWL,Consumer Defensive,Packaged Foods,34402.71,29.95,-0.36,265.4,261.45,267.25,1.51,-0.69,3322195.0,49.77,52.83,52.83,15,0,10,15,40,HOLD,MEDIUM
1176,METROBRAND,Consumer Cyclical,Apparel Retail,34245.43,96.13,-0.19,1253.6,1219.0,1170.9,2.84,7.06,123503.0,53.03,42.85,42.85,30,0,0,15,45,HOLD,MEDIUM
354,CENTRALBK,Financial Services,Banks - Regional,34214.29,7.78,0.37,37.8,36.21,35.68,4.39,5.94,5758647.0,29.14,35.99,35.99,35,0,15,15,65,BUY,MEDIUM
574,EXIDEIND,Consumer Cyclical,Auto Parts,33834.25,40.01,0.52,398.05,388.8,419.1,2.38,-5.02,2013896.0,53.07,49.64,49.64,15,0,0,15,30,SELL,HIGH
126,APARINDS,Industrials,Electrical Equipment & Parts,33798.42,38.31,-0.31,8411.5,8360.5,7862.5,0.61,6.98,63564.0,43.72,40.34,40.34,30,0,0,15,45,HOLD,MEDIUM
411,CRISIL,Financial Services,Financial Data & Stock Exchanges,33729.76,46.3,-0.17,4609.0,4620.5,5059.6,-0.25,-8.91,42231.0,72.79,72.77,72.77,0,20,0,15,35,HOLD,MEDIUM
390,COHANCE,Healthcare,Drug Manufacturers - Specialty & Generic,33501.4,90.09,0.64,875.7,869.3,905.0,0.74,-3.24,2901115.0,66.83,64.15,64.15,15,15,0,15,45,HOLD,MEDIUM
175,ASTERDM,Healthcare,Medical Care Facilities,33368.32,102.0,0.07,645.65,625.1,620.15,3.29,4.11,731782.0,65.58,58.81,58.81,35,15,0,15,65,BUY,MEDIUM
1849,TATAELXSI,Technology,Software - Application,33362.96,44.84,0.5,5355.5,5303.0,5427.5,0.99,-1.33,179601.0,32.45,36.27,36.27,15,0,0,15,30,SELL,HIGH
886,IPCALAB,Healthcare,Drug Manufacturers - Specialty & Generic,33313.9,42.73,0.16,1313.1,1371.2,1352.0,-4.24,-2.88,153900.0,57.1,68.67,68.67,0,0,0,15,15,SELL,HIGH
5,3MINDIA,Industrials,Conglomerates,32873.73,66.22,0.07,29135.0,29150.0,30980.0,-0.05,-5.96,4776.0,56.06,57.07,57.07,0,0,0,15,15,SELL,HIGH
771,HINDCOPPER,Basic Materials,Copper,32724.09,67.14,1.79,338.4,311.97,247.97,8.47,36.47,15625713.0,26.76,25.73,25.73,40,0,0,0,40,HOLD,MEDIUM
